Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-43.299023	3.424659	-35.74097	-50.0206	-9.212709	2.487416	-5.4536676	-13.821549	50.0	50.0	3999	-1.6244823	0.70936567	3.8320668	-5.108394	-1.6258742	0.70715463	0.9683988	-5.0395646	0.95648813	0.07789695	21.45889687538147
2	-42.792084	3.9338696	-34.869335	-54.151535	-7.861912	2.5385985	-2.7188957	-11.107299	50.0	50.0	7999	-3.2141762	1.1631566	0.9003471	-8.735664	-3.2142406	1.1636671	0.6249779	-8.6860285	2.4894018	0.13991535	48.72028422355652
3	-26.442389	16.90972	-3.3706133	-54.012115	-7.592511	3.4537945	-3.3988113	-15.321396	50.0	50.0	11999	-4.38518	1.4762549	1.5943654	-10.228664	-4.385359	1.4750546	1.8993013	-10.030484	3.6079423	0.28952712	78.94010400772095
4	-10.05979	3.2460034	-3.9051347	-17.811007	-8.356571	2.3761966	-4.256215	-11.838615	50.0	50.0	15999	-4.7743344	1.6484506	3.2791586	-10.784135	-4.774179	1.6486812	3.2362123	-10.887924	4.136312	0.3777416	111.44993042945862
5	-9.822176	3.5468788	-3.786142	-20.285362	-10.961693	4.0658703	-5.3032107	-17.736486	50.0	50.0	19999	-5.0844703	1.8050071	0.8468338	-12.030533	-5.0841584	1.8065633	1.2578189	-13.040063	4.5262113	0.46168843	145.0216474533081
6	-11.862065	4.957132	-4.5906625	-26.532917	-10.092688	5.4663897	-3.8545258	-21.227411	50.0	50.0	23999	-5.2845526	1.8551735	3.578845	-12.738111	-5.284448	1.8554658	1.9320383	-13.3169155	4.771859	0.5549094	180.38553667068481
7	-11.96448	5.0048194	-3.7128854	-24.297215	-8.416334	2.8956466	-5.1628733	-15.793815	50.0	50.0	27999	-5.544489	1.9501699	4.5463753	-13.195129	-5.5445585	1.949853	2.437908	-13.592029	5.0667725	0.6390107	214.9368498325348
8	-9.900539	3.6578226	-4.2808104	-21.589453	-7.805705	2.779882	-5.0240364	-13.138821	50.0	50.0	31999	-5.7785735	1.9414988	4.3516393	-13.554288	-5.7784095	1.9416946	6.10718	-13.618228	5.337188	0.69500023	251.68576312065125
9	-10.826504	4.193192	-3.0237346	-27.256168	-9.469758	4.538249	-4.0822372	-15.768402	50.0	50.0	35999	-6.0695767	1.9942513	3.7886462	-14.340365	-6.06949	1.9948919	2.9729114	-14.941503	5.655022	0.77800566	289.41193556785583
10	-10.597682	3.493585	-4.9098144	-22.495214	-9.187547	2.4408338	-6.16566	-13.582183	50.0	50.0	39999	-6.327671	2.0934005	3.28951	-14.717588	-6.3276043	2.0938928	2.6911888	-15.736078	5.9171762	0.8665898	327.925044298172
11	-10.359616	4.874756	-4.675826	-37.202553	-7.834359	4.031804	-3.2563705	-15.89142	50.0	50.0	43999	-6.552694	2.1634254	2.4247897	-14.92139	-6.552665	2.1648972	2.07206	-15.301087	6.1173615	0.9831647	366.00367546081543
12	-10.256602	3.646546	-3.402591	-21.660332	-9.690496	3.235042	-5.2686996	-13.870572	50.0	50.0	47999	-6.9197326	2.0973454	1.7671876	-15.109173	-6.919645	2.098775	3.9817414	-15.090303	6.4594207	1.2002091	404.29003047943115
13	-11.276063	5.231133	-4.2788296	-27.556122	-11.562805	5.2886653	-4.8726053	-22.43503	50.0	50.0	51999	-7.2507586	2.205246	3.7696357	-15.651068	-7.2509513	2.205297	2.350087	-15.86117	6.736377	1.3650252	442.69959115982056
14	-10.274153	4.329514	-3.509182	-27.570246	-10.239328	6.4323034	-4.4970903	-28.012539	50.0	50.0	55999	-7.3948107	2.371817	1.8636174	-16.015934	-7.394998	2.3722687	5.1356373	-16.618141	6.8862467	1.405734	481.24893021583557
15	-11.345113	5.2134113	-3.580795	-31.38106	-11.11015	4.909886	-5.801683	-20.387934	50.0	50.0	59999	-7.491855	2.5076523	2.9417348	-17.575607	-7.491809	2.5090613	2.7060704	-16.988037	7.0010695	1.4734439	519.4725639820099
16	-10.390494	3.8249245	-4.0249724	-26.64713	-9.435151	3.1078935	-4.85082	-12.764435	50.0	50.0	63999	-7.5359535	2.5889106	4.9483414	-17.762064	-7.5358114	2.5894852	3.4882514	-17.90144	7.039416	1.4819624	557.7659227848053
17	-10.278946	3.4301353	-4.7218466	-20.822128	-8.218962	2.853203	-4.093385	-13.733804	50.0	50.0	67999	-7.597521	2.5554047	2.3614228	-17.597471	-7.5975704	2.556498	4.011072	-18.27593	7.105217	1.5216724	596.1531867980957
18	-9.686276	3.053121	-4.5666895	-17.311535	-8.468303	3.59546	-3.378002	-15.077101	50.0	50.0	71999	-7.6598344	2.4875789	4.4459133	-16.977516	-7.659855	2.4886234	3.4881532	-17.323618	7.1770134	1.576309	634.1670963764191
19	-10.694151	3.3479087	-4.7177267	-19.25202	-9.885413	2.9751	-6.5302505	-16.135347	50.0	50.0	75999	-7.818518	2.5053394	3.1580377	-17.951014	-7.818341	2.5063581	2.579992	-17.426455	7.357496	1.6264223	672.6762120723724
20	-11.088461	3.4065037	-4.9023995	-22.158789	-9.460445	1.9787426	-6.6177187	-13.047267	50.0	50.0	79999	-7.9993057	2.5526059	3.900564	-18.45807	-7.9992156	2.5527685	4.685402	-18.56515	7.5801005	1.6870159	711.376494884491
21	-10.983992	4.5629435	-5.0120554	-28.84996	-7.1174607	2.1953971	-4.219227	-10.091075	50.0	50.0	83999	-8.165011	2.6730366	2.7780004	-20.827393	-8.164713	2.6739695	5.2205324	-21.06676	7.7383432	1.7236278	749.9311909675598
22	-10.339137	4.5310903	-3.3228366	-21.8945	-7.894048	3.229101	-2.8766148	-14.058585	50.0	50.0	87999	-8.251305	2.6887412	4.0272126	-19.792494	-8.25141	2.6886113	4.0526967	-20.164846	7.8004947	1.8409007	788.3485472202301
23	-9.853938	3.7880962	-3.6319544	-20.958445	-7.440759	2.9539006	-3.3566809	-13.032855	50.0	50.0	91999	-8.274786	2.6634464	10.704718	-19.313751	-8.274777	2.6642356	4.8503103	-19.351414	7.800498	1.8222524	826.9145019054413
24	-9.652172	3.8638744	-3.0126956	-20.430338	-8.470329	3.2273216	-4.228958	-14.485303	50.0	50.0	95999	-8.222726	2.566454	4.8612328	-18.548304	-8.222855	2.5664167	3.1934197	-19.090212	7.7545023	1.8621204	865.2751581668854
25	-10.556928	3.6566708	-4.954221	-18.235281	-9.987352	2.492275	-6.73173	-14.649704	50.0	50.0	99999	-8.193402	2.5540931	5.0846157	-19.146936	-8.193101	2.5550025	4.967639	-18.759674	7.734172	1.8359087	903.9935183525085
26	-10.0344715	3.4323258	-3.485415	-21.01896	-11.689527	4.660335	-5.1744437	-21.827368	50.0	50.0	103999	-8.196045	2.5944617	3.489627	-20.8809	-8.19611	2.5957935	7.925553	-20.527143	7.7642765	1.894962	942.4466490745544
27	-10.624352	3.0992184	-4.3995743	-17.73971	-9.769223	2.6168513	-4.5952706	-12.497205	50.0	50.0	107999	-8.174533	2.625393	8.867149	-23.156212	-8.174631	2.6253998	5.0982685	-23.682009	7.6836886	1.8959626	981.1009876728058
28	-10.910919	2.965733	-5.032257	-17.735817	-9.285192	1.2488134	-7.2258086	-11.376654	50.0	50.0	111999	-8.110502	2.5615664	3.7788935	-22.926647	-8.110577	2.562525	6.127942	-23.286228	7.6594315	1.9341713	1019.6857988834381
29	-10.1271515	2.4066734	-4.9474087	-16.479208	-7.8276863	2.090661	-4.712371	-10.404203	50.0	50.0	115999	-8.157365	2.6026525	4.218579	-23.103294	-8.157663	2.6022832	7.1792946	-23.2224	7.7069035	1.9329917	1058.1055579185486
30	-9.117138	2.210552	-3.8812356	-17.415348	-7.7700872	1.7290456	-4.558961	-10.187279	50.0	50.0	119999	-8.20168	2.6173587	5.7861395	-22.07277	-8.201878	2.6177907	5.205917	-22.096298	7.7816916	1.9306052	1096.471385717392
31	-8.353885	1.3724022	-5.6085825	-13.100588	-6.415329	1.364165	-4.244351	-9.278519	50.0	50.0	123999	-8.1927185	2.616708	3.1968904	-19.830034	-8.192789	2.616847	3.7563128	-19.983438	7.7917824	1.8704035	1135.1421220302582
32	-8.821647	2.1810393	-3.0117354	-15.491686	-7.265256	1.181218	-4.9380035	-8.543894	50.0	50.0	127999	-8.169658	2.5885243	5.0670047	-19.251997	-8.169701	2.5888696	5.8771744	-18.68016	7.7547293	1.8879957	1173.8318610191345
33	-8.203395	2.4997425	-4.745518	-23.324076	-8.440999	4.304218	-4.195939	-19.789394	50.0	50.0	131999	-8.1722765	2.6296756	6.2477837	-20.028782	-8.1722355	2.6296818	6.4963417	-19.38906	7.8027062	1.8779484	1212.4674923419952
34	-8.308696	2.1375828	-5.190979	-16.138752	-7.0367346	2.662301	-4.584308	-14.158541	50.0	50.0	135999	-8.204674	2.6885602	5.3509555	-21.13782	-8.204703	2.6888957	4.6212273	-21.423347	7.805117	1.9682798	1250.9919819831848
35	-8.660606	2.8909712	-4.540539	-18.049454	-7.0627685	2.0586274	-2.7585323	-11.365876	50.0	50.0	139999	-8.141129	2.7451723	4.3798895	-22.651663	-8.14125	2.7452104	5.849514	-23.147213	7.762706	1.9188966	1289.7771277427673
36	-8.33197	2.3369248	-3.5035846	-14.439742	-8.621664	4.407293	-4.4919944	-20.923967	50.0	50.0	143999	-8.041538	2.6878393	10.503124	-24.49062	-8.041397	2.687561	4.3351617	-23.875565	7.675385	1.850528	1328.2150213718414
37	-8.419081	2.8811395	-3.1193502	-21.999884	-5.165826	0.59934586	-4.2200418	-6.2586923	50.0	50.0	147999	-7.9628105	2.6635964	3.2344828	-24.351805	-7.9629107	2.6639898	7.7096257	-25.828905	7.609817	1.8216374	1366.9134414196014
38	-8.252278	1.8966346	-4.1702776	-13.708143	-6.1987505	1.9406747	-3.2819498	-10.108867	50.0	50.0	151999	-7.8652062	2.6081991	5.9098763	-26.314064	-7.8651676	2.6091201	6.0219316	-26.841097	7.5246367	1.8130088	1405.765481710434
39	-8.305731	2.3329265	-4.084107	-16.017202	-6.7475367	1.6940497	-4.0480704	-10.763679	50.0	50.0	155999	-7.808709	2.5036502	4.078371	-23.557665	-7.808672	2.5045638	7.0147886	-23.49469	7.4965777	1.7269461	1444.5444209575653
40	-9.60851	3.6208122	-4.660509	-21.568829	-8.22346	3.083664	-5.180182	-14.1285305	50.0	50.0	159999	-7.8012233	2.4992692	2.6171722	-24.023855	-7.8014555	2.5000548	6.2247586	-24.425524	7.4839373	1.713023	1483.250304222107
41	-8.313428	1.8925742	-4.5500913	-14.597003	-6.387835	1.8955209	-3.8876636	-9.481976	50.0	50.0	163999	-7.837937	2.4888508	6.9176936	-24.286272	-7.837842	2.4898872	2.57446	-25.800014	7.5374556	1.7547925	1522.028421163559
