Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-43.05305	4.208038	-34.38794	-53.164967	-8.393785	2.557112	-5.7836947	-14.338422	50.0	50.0	3999	-2.0650244	0.75511694	0.07926735	-5.6177464	-2.064492	0.75683373	0.7509585	-5.87895	1.3553251	0.09235455	21.699162244796753
2	-43.403233	3.7282703	-36.553383	-51.834625	-8.637724	2.5826461	-5.3266425	-13.3157625	50.0	50.0	7999	-3.353917	1.2780533	0.22056209	-9.010321	-3.3538895	1.278592	0.28538772	-9.031562	2.6033144	0.13990064	48.99471163749695
3	-27.086872	17.147182	-5.4752207	-51.407967	-9.149704	2.7040935	-4.6191797	-13.562189	50.0	50.0	11999	-4.3409433	1.5789374	0.37191758	-10.513073	-4.3409977	1.5783063	0.6217367	-10.741899	3.556815	0.23996738	79.5423948764801
4	-10.368861	2.4419832	-4.476883	-16.56374	-8.379406	1.6483929	-6.3756504	-11.977854	50.0	50.0	15999	-4.68129	1.686915	1.1372712	-11.3295965	-4.681444	1.6874356	1.041189	-11.297968	4.0525417	0.30191115	112.95128226280212
5	-11.289538	3.1471872	-5.822113	-21.568527	-11.969481	3.0695672	-8.156802	-18.79148	50.0	50.0	19999	-5.052085	1.8054577	1.2255304	-12.007954	-5.052181	1.8063598	1.2096211	-12.177073	4.5118814	0.38664782	146.97956466674805
6	-12.010439	3.283311	-4.835895	-20.245163	-10.467827	3.3941586	-2.659798	-14.440711	50.0	50.0	23999	-5.4226894	1.9077739	1.0633719	-13.028266	-5.4227476	1.9081742	1.2373117	-12.766383	4.932404	0.4706762	181.98971915245056
7	-12.270592	3.3985372	-3.973353	-22.071724	-10.374969	2.9632604	-6.219657	-15.003941	50.0	50.0	27999	-5.75333	1.9974655	0.8058523	-13.610516	-5.7534237	1.9975272	1.2213094	-13.751683	5.300101	0.5687491	216.24113273620605
8	-11.34607	2.7908614	-6.255404	-20.54772	-8.154961	2.8730206	-4.79099	-12.323799	50.0	50.0	31999	-5.9895096	2.0770302	1.6125674	-14.346824	-5.9895563	2.0776064	2.4626398	-14.233582	5.5548525	0.6666558	252.13244915008545
9	-10.459984	2.720289	-3.0457256	-17.51145	-10.805218	1.5948678	-8.992631	-13.383621	50.0	50.0	35999	-6.178161	2.1140072	1.3789271	-14.416144	-6.1782613	2.1159708	1.7291977	-14.644196	5.7598963	0.7384475	289.42508125305176
10	-12.368657	3.7252007	-3.7974155	-23.82068	-10.943189	2.3482208	-7.176828	-15.632772	50.0	50.0	39999	-6.33209	2.1021445	1.5817481	-14.760916	-6.3320823	2.1037936	1.1929002	-14.87605	5.9384346	0.8313811	327.4729678630829
11	-11.516485	3.081167	-4.3830256	-23.7051	-11.760124	4.8263636	-7.305253	-22.628086	50.0	50.0	43999	-6.539428	2.1207092	1.2090964	-15.243925	-6.5395174	2.1213446	2.2140417	-14.734307	6.160175	0.9067878	365.5842492580414
12	-13.057444	4.0007296	-6.880152	-28.281586	-9.911814	2.5998602	-6.3124547	-15.730521	50.0	50.0	47999	-6.780761	2.1803768	2.3326788	-15.404048	-6.7808313	2.1810923	2.3700068	-15.525351	6.4047375	1.010405	403.70995450019836
