Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1.579193	4.869543	21.303738	-8.469001	239.51804	156.91614	488.4914	73.508224	20.075377	259.7	3999	4.8914247	4.5723705	21.260962	-4.272513	4.891865	4.5724607	21.544594	-3.2701654	-7.5248885	0.63007545	28.02350401878357
2	2.3858159	5.719811	34.068855	-9.404566	109.91298	96.16455	390.9272	49.67019	20.497437	199.9	7999	29.687057	15.1283	77.02373	-22.918829	29.68706	15.129733	74.37669	-22.754816	-37.142788	7.988736	61.22536587715149
3	-2.3217518	16.163218	68.50421	-84.70633	26.990229	28.27049	83.028336	-14.0245495	32.619835	101.6	11999	59.473946	18.004639	102.49212	-50.773834	59.47285	18.00847	103.553055	-40.048946	-66.88611	21.272612	95.74165940284729
4	45.833275	99.34644	328.10724	-48.685345	224.71326	155.61584	424.4156	77.14809	131.1	232.8	15999	59.402737	19.626501	114.0355	-44.33274	59.402084	19.630087	115.608444	-43.894215	-63.26748	17.744402	136.88911318778992
5	183.82494	154.96486	397.93304	-22.214697	411.3622	426.97757	958.6387	16.638887	158.69565	478.5	19999	54.85836	20.473257	123.39727	-62.42646	54.857803	20.469046	117.85123	-52.265297	-58.3685	21.470188	183.71078753471375
6	20.082413	92.742096	800.7962	-23.424004	327.21103	118.22735	508.3409	88.32364	46.89247	173.0	23999	61.50084	20.979725	127.17394	-61.64429	61.499104	20.981142	132.65968	-57.777912	-66.19364	32.08038	224.4089035987854
7	240.92194	294.81006	947.09576	-50.247555	-10.021301	2.0579462	-6.6014657	-13.243153	225.66667	63.9	27999	67.20827	21.56798	120.26248	-58.82107	67.20752	21.579247	123.594185	-60.689816	-71.44278	30.566942	263.4988708496094
8	217.849	230.23802	609.22876	-92.6949	330.74286	146.17235	663.0613	175.02379	235.41176	227.9	31999	70.69403	21.429234	131.62762	-59.45012	70.69446	21.436598	130.62366	-58.43801	-74.85748	28.494759	305.4681136608124
9	335.34814	242.97516	856.0039	70.70584	185.85718	76.53691	335.38748	77.92143	283.57144	173.6	35999	76.85508	21.482515	130.69388	-65.010445	76.85699	21.485157	134.02028	-52.681656	-81.39453	28.462477	346.2757863998413
10	191.39601	173.23547	409.362	-71.6265	368.67438	182.7643	669.4706	77.15052	196.2	306.7	39999	80.275635	21.20502	149.49536	-35.44589	80.276184	21.215242	147.60527	-40.345306	-84.027985	28.694258	389.46213459968567
11	336.05673	79.296486	600.74695	235.60541	355.45346	41.111595	424.911	299.37064	195.71428	179.3	43999	81.76695	22.043406	147.34512	-38.946445	81.76718	22.05266	148.3489	-44.636414	-85.467064	29.312557	430.52939105033875
12	360.5227	132.26514	654.6133	71.53561	615.8832	157.02115	1010.5682	473.306	220.33333	461.0	47999	84.65106	22.349339	134.8045	-48.36356	84.65137	22.359678	134.259	-39.052795	-88.229454	26.888046	477.45883679389954
13	391.47125	71.24216	580.5654	294.0999	309.9693	44.46323	378.08047	262.1212	232.47058	169.3	51999	87.56873	22.691635	140.92204	-58.08908	87.56897	22.702152	142.26321	-65.00983	-91.07983	26.486021	518.17786693573
14	285.69977	63.15812	402.47495	156.85402	256.7465	66.509445	311.695	67.05641	158.88461	154.9	55999	90.11202	23.408543	147.01195	-79.6792	90.11214	23.418507	147.83829	-91.35074	-93.5027	25.198042	558.5533907413483
15	284.37317	74.35394	388.8479	5.598588	309.94095	38.163837	390.45175	273.2467	144.59259	152.3	59999	91.89998	24.78647	151.13878	-102.10736	91.89986	24.794168	156.10905	-106.72292	-95.27834	25.868708	599.1097681522369
