Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-43.14204	3.5802832	-35.051514	-50.029854	-7.388341	1.9748685	-4.206713	-10.557656	50.0	50.0	3999	-1.8081081	0.7642793	1.7481952	-5.2262254	-1.8079007	0.76362467	1.0826901	-5.2942443	1.1114494	0.07961206	22.1248939037323
2	-42.906414	3.8648272	-34.556267	-52.130146	-6.7300224	2.9215596	-3.328001	-11.37094	50.0	50.0	7999	-3.3661034	1.2289698	0.10391145	-9.340175	-3.3661222	1.2284287	0.12773591	-9.416588	2.6375346	0.13749819	50.28698801994324
3	-26.200445	16.950272	-6.0073113	-51.986607	-8.397253	1.1757396	-6.422346	-9.980512	50.0	50.0	11999	-4.4865975	1.6803589	1.1628128	-11.363326	-4.486901	1.6798519	1.1781693	-11.261761	3.710643	0.25095037	81.48592710494995
4	-9.455416	3.286029	-3.830532	-22.07915	-8.778788	2.119754	-5.662262	-13.767989	50.0	50.0	15999	-4.74664	1.888494	1.7629802	-11.732248	-4.746853	1.8886561	2.1760027	-12.048498	4.104744	0.3218556	116.10467553138733
5	-9.475001	3.0878322	-4.3986998	-21.43301	-8.886423	4.228544	-3.192766	-16.55303	50.0	50.0	19999	-4.967461	1.8675628	2.0494914	-12.370979	-4.967744	1.8686339	2.369435	-12.410513	4.4268446	0.40360874	150.72136664390564
6	-10.659503	4.6991987	-3.5776548	-22.989544	-9.890001	3.8408704	-4.4477572	-15.900445	50.0	50.0	23999	-5.2340612	1.924854	3.5206592	-12.882928	-5.234259	1.9261526	5.0595717	-12.7627945	4.755049	0.46632537	185.27062726020813
7	-13.292188	5.0952826	-4.2087708	-28.744207	-11.075208	3.6144009	-4.6421537	-16.794252	50.0	50.0	27999	-5.5021286	1.9682325	2.570801	-14.225073	-5.502171	1.9699935	2.5551763	-13.895154	5.0493665	0.5542817	222.33829975128174
8	-10.730234	4.35792	-2.1433785	-20.973953	-7.482133	3.991951	-3.8416986	-15.663285	50.0	50.0	31999	-5.7354407	1.9953892	2.414927	-14.059149	-5.7353706	1.9979721	2.8594036	-13.705496	5.3020916	0.63747144	259.78876781463623
9	-9.745632	3.9985514	-3.8369412	-20.593548	-7.6338134	2.862613	-4.016878	-12.761709	50.0	50.0	35999	-5.9575477	2.038467	3.143045	-14.400653	-5.9576073	2.0406594	3.651071	-13.723993	5.5423207	0.7194399	297.3284466266632
10	-9.972206	4.513809	-4.155167	-24.020023	-7.853119	3.3961766	-2.2001934	-15.322946	50.0	50.0	39999	-6.1062593	2.0799763	1.9973569	-14.495345	-6.1063395	2.0825937	2.8001974	-14.2205105	5.6939754	0.82950896	334.8125743865967
11	-10.062183	4.276329	-2.49229	-24.218971	-12.296	5.734766	-3.0326965	-19.026093	50.0	50.0	43999	-6.251278	2.0171711	2.5658598	-14.759072	-6.251243	2.0204456	2.2663524	-14.657367	5.868687	0.9090891	372.6730799674988
12	-12.02611	4.74652	-4.1880784	-23.221125	-12.18106	2.179556	-7.9298463	-15.349234	50.0	50.0	47999	-6.398294	1.9848777	3.5472631	-15.446569	-6.3982058	1.9880563	2.8346605	-15.514202	6.0262423	0.956519	410.5036759376526
13	-9.872637	4.326087	-3.3787494	-24.885107	-6.921037	2.3581812	-3.8909323	-11.964306	50.0	50.0	51999	-6.68627	2.0730598	3.4490938	-16.414469	-6.6862288	2.0751703	2.7899685	-15.981055	6.3086443	1.04497	448.4279043674469
14	-9.3181305	2.9782515	-3.4455473	-17.935446	-7.7989516	4.4840126	-1.8297589	-15.981356	50.0	50.0	55999	-6.857086	2.1800382	3.7263975	-15.624213	-6.857217	2.182835	3.5775888	-16.367212	6.487369	1.1108876	486.2519235610962
15	-9.282526	4.4185057	-3.774056	-32.777824	-8.155141	3.3263814	-4.4919753	-15.61265	50.0	50.0	59999	-6.8607483	2.2303329	4.8938885	-17.714481	-6.860853	2.2325747	2.2614431	-17.452812	6.504469	1.1334248	524.0898447036743
16	-9.442123	3.493785	-4.943618	-21.594501	-6.7131414	1.9938542	-2.4424071	-9.4227085	50.0	50.0	63999	-6.8553567	2.1935666	3.2567592	-18.141726	-6.855437	2.1948457	2.8154314	-17.372095	6.51108	1.1121097	561.8471486568451
17	-8.792842	2.9347532	-3.3100739	-20.714314	-8.091252	2.6308818	-4.209827	-13.1989765	50.0	50.0	67999	-6.903269	2.1540782	6.0521274	-17.73206	-6.9032865	2.1566527	3.6129045	-17.211527	6.5693808	1.1622862	599.869594335556
18	-9.3946085	3.8261132	-4.5360084	-21.032156	-7.979356	3.4868226	-2.9456196	-13.852563	50.0	50.0	71999	-6.926862	2.164608	4.239681	-17.454266	-6.926719	2.167366	3.1641805	-16.705296	6.590158	1.1774454	637.8180770874023
19	-10.90179	5.024029	-3.8756452	-25.723282	-6.0166807	2.3395236	-4.191968	-12.750589	50.0	50.0	75999	-6.9452014	2.1683793	5.183933	-18.238329	-6.945116	2.171381	3.4812129	-16.6267	6.6212883	1.2143751	675.814759016037
20	-9.3109665	3.6684468	-4.654994	-22.790546	-9.449631	4.036735	-4.2497296	-15.75568	50.0	50.0	79999	-6.9880257	2.1662724	5.4611597	-18.393187	-6.9878283	2.17065	4.1338167	-17.078213	6.666884	1.2345322	713.5045018196106
21	-8.553483	3.07222	-3.2853484	-19.318874	-6.8491387	2.9485168	-3.2816064	-11.649902	50.0	50.0	83999	-7.1091623	2.2029538	4.1584706	-17.284399	-7.1091437	2.2062352	2.958902	-16.841845	6.805992	1.2356988	751.8458230495453
22	-7.984534	2.2163968	-4.003491	-16.523771	-4.9440703	2.5468946	-1.3332233	-8.90354	50.0	50.0	87999	-7.145153	2.231851	5.5893593	-18.539635	-7.1451526	2.2348099	4.0200305	-17.38577	6.8377056	1.2480175	789.6866364479065
23	-7.553544	2.0689497	-3.3641558	-14.182982	-5.2915897	2.391963	-1.9112111	-9.907341	50.0	50.0	91999	-7.1663795	2.217481	8.672224	-17.472145	-7.16637	2.219918	4.469579	-17.318048	6.8678846	1.2672898	827.7061290740967
24	-9.322329	5.651789	-3.607556	-40.14219	-6.8420105	4.755614	-3.027911	-20.255945	50.0	50.0	95999	-7.183133	2.200043	3.4166155	-17.525204	-7.183049	2.2030394	4.1145353	-17.965658	6.889663	1.2764767	866.0168492794037
25	-9.412451	3.9330807	-3.2033684	-20.878815	-9.39593	4.4881997	-5.912882	-19.826296	50.0	50.0	99999	-7.197919	2.216009	5.6028666	-18.10963	-7.197972	2.2183337	4.1553497	-17.1868	6.909141	1.3087288	903.9680366516113
26	-8.667969	2.805975	-4.03499	-22.191793	-6.8652596	2.0325232	-2.6801298	-9.612285	50.0	50.0	103999	-7.2116218	2.2565863	7.015675	-17.898005	-7.211347	2.259086	4.6619444	-17.628702	6.933503	1.3173807	942.1043386459351
27	-8.15567	2.2271929	-4.076219	-15.750939	-6.8685775	1.6901414	-4.257008	-10.3275795	50.0	50.0	107999	-7.20828	2.223372	3.3324542	-17.507715	-7.2083707	2.2260711	3.9265003	-16.623924	6.926415	1.3054167	980.2277021408081
28	-8.906679	4.125659	-4.052333	-26.429853	-7.767331	3.9054983	-3.7712018	-19.079752	50.0	50.0	111999	-7.182585	2.2218812	9.219973	-17.298437	-7.182642	2.2229857	4.8642154	-17.251535	6.9027567	1.3250167	1018.2562928199768
29	-9.03719	3.8316178	-3.9088652	-24.411581	-10.198256	2.3145416	-5.9232917	-13.453105	50.0	50.0	115999	-7.1973186	2.21384	5.3522058	-16.8418	-7.197388	2.2157323	3.944296	-16.672197	6.9271474	1.337006	1055.9879474639893
