Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-43.26068	3.7772856	-34.203064	-52.531635	-11.233881	2.4718585	-8.4849825	-16.75284	50.0	50.0	3999	-2.0975804	0.7683365	1.9752507	-7.6093054	-2.0980136	0.7668081	0.1373163	-7.667401	1.3578265	0.12149404	21.6695396900177
2	-42.718975	3.994409	-35.428963	-53.44098	-11.149042	1.1466895	-9.415041	-13.304704	50.0	50.0	7999	-3.3311503	1.1878519	0.22244196	-9.223549	-3.331125	1.1875798	0.3429811	-9.344882	2.583136	0.15823844	50.27074146270752
3	-26.55572	17.013031	-4.1190233	-51.80249	-10.304878	3.8454733	-4.072027	-14.967131	50.0	50.0	11999	-4.307953	1.4192301	1.3860841	-10.895633	-4.308181	1.4176916	1.5733176	-10.766714	3.5213804	0.27313128	81.04216575622559
4	-10.273756	2.8208184	-3.9606183	-18.757969	-7.9694967	2.7615364	-3.0708218	-11.388232	50.0	50.0	15999	-4.8194814	1.5343204	1.6380938	-11.509246	-4.8195286	1.5333095	0.8406557	-11.4375105	4.198342	0.35419068	115.83727502822876
5	-11.19425	4.043879	-4.4578757	-22.80207	-11.899066	5.496658	-4.8795586	-23.314846	50.0	50.0	19999	-5.314716	1.7537248	1.1589297	-12.576854	-5.3146057	1.7532755	1.0143257	-12.13156	4.781082	0.43023366	151.51555514335632
6	-13.2069	4.0044994	-4.739512	-23.271923	-12.689535	2.7695785	-7.4606466	-16.864965	50.0	50.0	23999	-5.6305876	1.9163879	2.7585142	-12.845879	-5.6306663	1.9160717	2.877947	-13.43897	5.13126	0.5409122	186.72107243537903
7	-12.13446	4.0392365	-6.051449	-25.773829	-9.766179	2.3202732	-6.4512405	-13.916511	50.0	50.0	27999	-5.869086	1.9483428	3.3243728	-13.179348	-5.869111	1.948383	3.3438725	-13.677024	5.403299	0.6421848	224.62366819381714
8	-11.711551	3.3099957	-5.8314924	-22.321547	-7.978429	2.5711374	-4.29962	-11.90603	50.0	50.0	31999	-6.211155	2.0802932	3.282102	-14.188699	-6.2110057	2.079772	2.3723273	-14.294799	5.7676945	0.7321484	263.2116496562958
9	-11.3716	3.9463458	-4.0406694	-20.555073	-8.89073	4.621837	-3.2019768	-20.700779	50.0	50.0	35999	-6.5066037	2.2102673	1.9695985	-15.514954	-6.506617	2.2100718	1.8257663	-15.856855	6.0645685	0.80714613	302.2252731323242
10	-11.655033	4.3926535	-4.1080384	-25.83447	-7.3572373	3.8785188	-2.6101348	-14.09512	50.0	50.0	39999	-6.739912	2.3065524	3.8801377	-15.73841	-6.7398295	2.307259	4.375003	-15.733092	6.3209257	0.88784784	341.4430592060089
